recommended_work_id,completed_work_id,internal_mp_id,mp_name_normalized,similarity_score,recommended_description,completed_description,recommended_amount,completed_amount,audit_status,pipeline_created_at
236322,236302,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236303,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236304,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236305,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236306,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236307,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236308,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236309,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236310,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236311,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
