internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_02045,GRK CONSTRUCTION COMPANY,GRK CONSTRUCTION COMPANY,2196372.0,3,2,2,RAJASTHAN,Construction of additional rooms and halls in the existing public and community building,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02046,GANGADURAI CONTRACTOR,GANGADURAI CONTRACTOR,2196347.0,3,1,1,TAMIL NADU,Construction of bus-sheds or bus-stops,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02047,ajay kumar,AJAY KUMAR,2196098.0,13,7,4,RAJASTHAN,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02048,Pandan,PANDAN,2195668.0,1,1,1,TAMIL NADU,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02049,J V Traders,J V TRADERS,2194939.0,2,1,1,TAMIL NADU,Construction of bus-sheds or bus-stops,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02050,Chilla Shivakumar,CHILLA SHIVAKUMAR,2194150.0,4,1,1,TELANGANA,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02051,VIJAYAKUMAR CONSTRUCTION,VIJAYAKUMAR CONSTRUCTION,2192169.0,2,1,1,TAMIL NADU,Construction of toilet blocks,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02052,DWIVIDI CONSTRUCTION AND SUPPLIER PRO HARE RAM DWIVEDI,DWIVIDI CONSTRUCTION AND SUPPLIER PRO HARE RAM DWIVEDI,2191968.0,3,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02053,JAIPUR VIDYUT VITRAN NIGAM LIMITED,JAIPUR VIDYUT VITRAN NIGAM LIMITED,2191248.0,1,1,1,RAJASTHAN,Improvement of electricity distribution infrastructure,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02054,Lalit Kumar Sharma Electric Contractor Contractor Sirsa,LALIT KUMAR SHARMA ELECTRIC CONTRACTOR CONTRACTOR SIRSA,2190605.0,5,1,1,HARYANA,Improvement of electricity distribution infrastructure,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02055,sri keshav ram patel,SRI KESHAV RAM PATEL,2186943.0,4,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02056,MA ANNAPURNA LIGHT AND SOUND SYSTEM,MA ANNAPURNA LIGHT AND SOUND SYSTEM,2182525.0,4,1,1,WEST BENGAL,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02057,ASHISH KUMAR SINGH,ASHISH KUMAR SINGH,2182475.0,4,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02058,SABNUR CONSTRUCTION,SABNUR CONSTRUCTION,2181686.0,1,1,1,WEST BENGAL,Street lights,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_02059,MANSIH KUMAR SINGH,MANSIH KUMAR SINGH,2180383.0,4,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
