internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,allocated_amount,total_expenditure,unspent_amount,utilization_pct,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_MP_088,BHOJRAJ NAG,KANKER,CHHATTISGARH,164672734.11,35985836.0,128686898.11,21.85,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_089,JYOTSNA CHARANDAS MAHANT,KORBA,CHHATTISGARH,155153738.11,74559859.0,80593879.11000001,48.06,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_090,ROOP KUMARI CHOUDHARY,MAHASAMUND,CHHATTISGARH,153035414.0,75772172.0,77263242.0,49.51,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_091,RADHE SHYAM RATHIYA,RAIGARH,CHHATTISGARH,159706972.09,80152296.0,79554676.09,50.19,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_092,BRIJMOHAN AGRAWAL,RAIPUR,CHHATTISGARH,153766451.11,68756217.0,85010234.11000001,44.71,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_093,SANTOSH PANDEY,RAJNANDGAON,CHHATTISGARH,147000000.0,60639114.0,86360886.0,41.25,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_094,CHINTAMANI MAHARAJ,SARGUJA,CHHATTISGARH,147000000.0,61420121.0,85579879.0,41.78,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_095,PRAVEEN KHANDELWAL,CHANDINI CHOWK,DELHI,147470276.0,26487847.0,120982429.0,17.96,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_096,HARSH MALHOTRA,EAST DELHI,DELHI,147134131.0,24390277.0,122743854.0,16.58,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_097,BANSURI SWARAJ,NEW DELHI,DELHI,154306950.0,21775293.0,132531657.0,14.11,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_098,MANOJ TIWARI,NORTH EAST DELHI,DELHI,225843858.0,28650238.0,197193620.0,12.69,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_099,YOGENDRA CHANDOLIYA,NORTH WEST DELHI,DELHI,147876307.0,10961614.0,136914693.0,7.41,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_100,RAMVIR SINGH BIDHURI,SOUTH DELHI,DELHI,147559100.0,28849836.0,118709264.0,19.55,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_101,KAMALJEET SEHRAWAT,WEST DELHI,DELHI,147000000.0,13075365.0,133924635.0,8.89,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_102,SHRIPAD YESSO NAIK,NORTH GOA,GOA,147000000.0,15476370.0,131523630.0,10.53,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_103,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,GOA,147000000.0,48358008.0,98641992.0,32.9,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_104,HASMUKH BHAI SOMA BHAI PATEL,AHMEDABAD EAST,GUJARAT,147000000.0,32021270.0,114978730.0,21.78,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_105,DINESHBHAI MAKWANA,AHMEDABAD WEST,GUJARAT,160434965.11,25122452.0,135312513.11,15.66,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_106,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,GUJARAT,147000000.0,60446765.0,86553235.0,41.12,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_107,MITESH RAMESHBHAI BAKABHAI PATEL,ANAND,GUJARAT,147000000.0,58303147.0,88696853.0,39.66,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_108,GENIBEN NAGAJI THAKOR,BANASKANTHA,GUJARAT,147000000.0,25832765.0,121167235.0,17.57,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_109,PRABHUBHAI NAGARBHAI VASAVA,BARDOLI,GUJARAT,147000000.0,27468376.0,119531624.0,18.69,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
