internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,house,allocated_amount,total_expenditure,unspent_amount,utilization_pct,utilization_percentile,utilization_robust_zscore,recommended_works_count,completed_works_count,pending_works_count,completion_rate_pct,completion_rate_percentile,completion_rate_robust_zscore,transaction_count,successful_payments_count,pending_payments_count,successful_payment_rate_pct,pending_payment_rate_pct,pending_payment_rate_robust_zscore,average_transaction_amount,distinct_vendor_count,vendor_hhi,vendor_hhi_percentile,vendor_hhi_robust_zscore,top_vendor_share_pct,feature_generated_at
INTERNAL_MP_154,MANISH JAISWAL,HAZARIBAGH,JHARKHAND,Lok Sabha,147000000.0,0.0,147000000.0,0.0,0.011970534069981584,-1.442543795620438,164,0,164,0.0,0.03959484346224678,-1.1268516656191072,0,0,0,100.0,0.0,-0.6745,0.0,0,0.0,0.011970534069981584,-0.9806234610680797,0.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_155,BIDYUT BARAN MAHATO,JAMSHEDPUR,JHARKHAND,Lok Sabha,147000000.0,75745972.0,71254028.0,51.53,0.8158379373848987,0.8638254810882552,176,2,174,1.12,0.09392265193370165,-1.0793695788812063,189,189,0,100.0,0.0,-0.6745,400772.3386243386,4,4195.35,0.8747697974217311,2.8646864655523845,48.51,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_156,KALI CHARAN MUNDA,KHUNTI,JHARKHAND,Lok Sabha,147000000.0,77772545.0,69227455.0,52.91,0.8360957642725598,0.9255912408759126,274,31,243,10.16,0.21915285451197053,-0.6961213073538652,240,240,0,100.0,0.0,-0.6745,324052.2708333333,8,2497.36,0.7587476979742173,1.3083686846038862,38.75,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_157,ANNPURNA DEVI,KODARMA,JHARKHAND,Lok Sabha,166665931.8,42079828.0,124586103.8,25.25,0.39410681399631675,-0.31240942269409416,303,85,218,21.91,0.43462246777163904,-0.19798334380892507,146,136,10,93.15068493150685,6.8493150684931505,1.9742214611872142,288218.0,5,4273.48,0.8766114180478821,2.936297669520314,54.21,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_158,SUKHDEO BHAGAT,LOHARDAGA,JHARKHAND,Lok Sabha,171821957.11,138586757.0,33235200.11000001,80.66,0.990791896869245,2.1676201061712015,204,80,124,28.17,0.5377532228360957,0.06740760527969844,358,353,5,98.60335195530726,1.3966480446927374,-0.1343975791433892,387113.8463687151,9,2493.5,0.7550644567219152,1.3048307446663947,40.31,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_159,VISHNU DAYAL RAM,PALAMU,JHARKHAND,Lok Sabha,158176083.11,83852477.0,74323606.11000001,53.01,0.8379373848987108,0.9300670205706705,154,117,37,43.17,0.7366482504604052,0.703328409805154,333,332,1,99.69969969969969,0.3003003003003003,-0.5583698698698699,251809.24024024024,3,5716.49,0.9300184162062615,4.258909770349231,72.44,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_160,VIJAY KUMAR HANSDAK,RAJMAHAL,JHARKHAND,Lok Sabha,147223957.11,28886697.0,118337260.11,19.62,0.30478821362799263,-0.5643958195089581,468,0,468,0.0,0.03959484346224678,-1.1268516656191072,302,302,0,100.0,0.0,-0.6745,95651.31456953642,6,3373.96,0.8287292817679558,2.111829345019703,49.5,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_161,SANJAY SETH,RANCHI,JHARKHAND,Lok Sabha,147064357.11,87528580.0,59535777.110000014,59.52,0.8968692449355433,1.2214402786994034,101,49,52,32.67,0.5966850828729282,0.25818384663733507,238,232,6,97.47899159663865,2.5210084033613445,0.30040756302521004,367767.14285714284,3,6854.43,0.9558011049723757,5.301905462698736,81.76,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_162,JOBA MAJHI,SINGHBHUM,JHARKHAND,Lok Sabha,147000000.0,59054467.0,87945533.0,40.17,0.6546961325966851,0.3553769077637694,118,0,118,0.0,0.03959484346224678,-1.1268516656191072,127,127,0,100.0,0.0,-0.6745,464995.8031496063,3,3911.8,0.858195211786372,2.6047945305068616,52.05,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_163,PARVATAGOUDA CHANDANAGOUDA GADDIGOUDAR,BAGALKOT,KARNATAKA,Lok Sabha,167541747.11,63865076.0,103676671.11,38.12,0.6132596685082873,0.2636234240212343,136,92,44,40.35,0.6961325966850829,0.5837752985543683,232,230,2,99.13793103448276,0.8620689655172413,-0.34112643678160925,275280.5,96,212.57,0.09760589318600368,-0.7857892920233728,9.2,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_164,P C MOHAN,BANGALORE CENTRAL,KARNATAKA,Lok Sabha,159995711.11,10439505.0,149556206.11,6.52,0.09023941068139964,-1.1507229595222297,17,2,15,10.53,0.2265193370165746,-0.6804352608422374,21,21,0,100.0,0.0,-0.6745,497119.28571428574,5,4471.88,0.8858195211786372,3.1181441160483754,48.85,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_165,SHOBHA KARANDLAJE,BANGALORE NORTH,KARNATAKA,Lok Sabha,147000000.0,61473509.0,85526491.0,41.82,0.6777163904235728,0.42922727272727296,88,21,67,19.27,0.39226519337016574,-0.3099054054054053,104,104,0,100.0,0.0,-0.6745,591091.4326923077,28,613.49,0.3278084714548803,-0.4183201521945917,13.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_166,DR C N MANJUNATH,BANGALORE RURAL,KARNATAKA,Lok Sabha,147000000.0,58047695.0,88952305.0,39.49,0.6372007366482505,0.32494160583941634,170,64,106,27.35,0.5174953959484346,0.032643934632306845,187,178,9,95.18716577540107,4.81283422459893,1.186687165775401,310415.48128342244,40,2444.48,0.7513812154696132,1.2599007405897538,48.11,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_167,SHRI LS TEJASVI SURYA,BANGALORE SOUTH,KARNATAKA,Lok Sabha,147000000.0,40913804.0,106086196.0,27.83,0.43646408839779005,-0.19693430656934305,112,25,87,18.25,0.3572744014732965,-0.35314802011313623,51,49,2,96.07843137254902,3.9215686274509802,0.8420228758169933,802231.4509803922,20,1220.8,0.5432780847145487,0.13831878651990742,26.64,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_168,JAGADISH SHETTAR,BELGAUM,KARNATAKA,Lok Sabha,147000000.0,9847651.0,137152349.0,6.7,0.09668508287292818,-1.1426665560716656,171,1,170,0.58,0.08103130755064457,-1.1022627278441228,29,21,8,72.41379310344827,27.586206896551722,9.993454022988505,339574.1724137931,19,596.64,0.30755064456721914,-0.4337642682429678,10.15,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_169,E. TUKARAM,BELLARY,KARNATAKA,Lok Sabha,147000000.0,14535937.0,132464063.0,9.89,0.143646408839779,-0.9998891838088919,89,2,87,2.2,0.1141804788213628,-1.0335832809553736,25,24,1,96.0,4.0,0.8723533333333333,581437.48,5,4689.22,0.8931860036832413,3.3173502989536616,66.11,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_170,SAGAR ESHWAR KHANDRE,BIDAR,KARNATAKA,Lok Sabha,147000000.0,15422826.0,131577174.0,10.49,0.15101289134438306,-0.973034505640345,173,5,168,2.81,0.11786372007366483,-1.0077225015713387,50,46,4,92.0,8.0,2.4192066666666667,308456.52,32,448.26,0.23941068139963168,-0.5697641459437424,12.16,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_171,RAMESH CHANDAPPA JIGAJINAGI,BIJAPUR,KARNATAKA,Lok Sabha,269500000.0,22898132.0,246601868.0,8.5,0.11786372007366483,-1.0621025215660254,362,0,362,0.0,0.03959484346224678,-1.1268516656191072,115,94,21,81.73913043478261,18.26086956521739,6.3872217391304345,199114.19130434783,39,429.44,0.23388581952117865,-0.58701389455089,10.24,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_172,SUNIL BOSE,CHAMARAJANAGAR,KARNATAKA,Lok Sabha,147000000.0,50427615.0,96572385.0,34.3,0.5340699815837937,0.09264863968148643,91,21,70,18.75,0.38029465930018413,-0.3319506599622877,96,90,6,93.75,6.25,1.7424583333333334,525287.65625,6,3112.68,0.8066298342541437,1.8723493069710555,34.85,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_173,DR.K.SUDHAKAR,CHIKBALLAPUR,KARNATAKA,Lok Sabha,147000000.0,37428975.0,109571025.0,25.46,0.39594843462246776,-0.30301028533510277,142,18,124,11.25,0.23572744014732966,-0.6499110622250155,134,134,0,100.0,0.0,-0.6745,279320.7089552239,26,2356.25,0.7440147329650092,1.179032232640304,33.92,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_174,PRIYANKA SATISH JARKIHOLI,CHIKKODI,KARNATAKA,Lok Sabha,147000000.0,17833577.0,129166423.0,12.13,0.17495395948434622,-0.8996317186463171,143,16,127,10.06,0.2154696132596685,-0.7003607793840348,34,32,2,94.11764705882352,5.88235294117647,1.6002843137254898,524516.9705882353,16,1619.47,0.6390423572744015,0.5037256556597363,30.06,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_175,GOVIND MAKTHAPPA KARJOL,CHITRADURGA,KARNATAKA,Lok Sabha,147000000.0,45195747.0,101804253.0,30.75,0.4843462246777164,-0.06624153948241528,204,19,185,8.52,0.19521178637200737,-0.7656486486486485,121,107,14,88.42975206611571,11.570247933884298,3.7998691460055096,373518.5702479339,37,1980.3,0.7071823204419889,0.8344497146351404,42.87,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_176,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,KARNATAKA,Lok Sabha,147000000.0,48429304.0,98570696.0,32.95,0.5138121546961326,0.032225613802256414,131,75,56,36.41,0.6427255985267035,0.4167401005656818,103,93,10,90.29126213592234,9.70873786407767,3.0799983818770227,470187.41747572814,61,280.8,0.13443830570902393,-0.7232520790868324,6.81,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_177,DR. PRABHA MALLIKARJUN,DAVANAGERE,KARNATAKA,Lok Sabha,147000000.0,57444696.0,89555304.0,39.08,0.6279926335174953,0.30659090909090925,92,5,87,5.15,0.14732965009208104,-0.9085188560653675,90,83,7,92.22222222222223,7.777777777777778,2.33327037037037,638274.4,3,9573.79,0.990791896869245,7.794374983013997,97.83,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_178,PRALHAD VENKATESH JOSHI,DHARWAD,KARNATAKA,Lok Sabha,147000000.0,20265814.0,126734186.0,13.79,0.18968692449355432,-0.8253337757133378,174,28,146,13.86,0.27440147329650094,-0.5392608422375863,65,55,10,84.61538461538461,15.384615384615385,5.274935897435897,311781.75384615385,35,376.14,0.2007366482504604,-0.6358667957602935,7.81,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_179,RADHAKRISHNA,GULBARGA,KARNATAKA,Lok Sabha,147000000.0,3254664.0,143745336.0,2.21,0.040515653775322284,-1.3436290643662907,29,0,29,0.0,0.03959484346224678,-1.1268516656191072,2,2,0,100.0,0.0,-0.6745,1627332.0,2,5732.03,0.9318600368324125,4.273153186574262,69.13,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_180,SHREYAS. M. PATEL,HASSAN,KARNATAKA,Lok Sabha,147000000.0,58328008.0,88671992.0,39.68,0.6408839779005525,0.33344558725945606,181,23,158,11.27,0.23756906077348067,-0.6490631678189815,179,174,5,97.20670391061452,2.793296089385475,0.4057048417132216,325854.7932960894,52,1613.95,0.6353591160220995,0.4986662182361733,37.2,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_181,BASAVARAJ BOMMAI,HAVERI,KARNATAKA,Lok Sabha,147000000.0,57936447.0,89063553.0,39.41,0.6353591160220995,0.32136098208360986,144,19,125,11.66,0.24125230202578268,-0.6325292269013196,167,166,1,99.40119760479041,0.5988023952095809,-0.44293512974051896,346924.8323353293,17,3939.58,0.861878453038674,2.630256699279793,55.62,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_182,M. MALLESH BABU,KOLAR,KARNATAKA,Lok Sabha,147065957.11,40766132.0,106299825.11,27.72,0.43462246777163904,-0.2018576642335766,73,3,70,3.95,0.13259668508287292,-0.9593925204274039,122,121,1,99.18032786885246,0.819672131147541,-0.3575218579234972,334148.62295081967,39,852.78,0.4198895027624309,-0.19899537301263767,19.99,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_183,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,KARNATAKA,Lok Sabha,147000000.0,66577182.0,80422818.0,45.29,0.7237569060773481,0.5845368281353686,126,67,59,34.72,0.6224677716390423,0.34509302325581387,200,199,1,99.5,0.5,-0.4811433333333333,332885.91,46,1064.94,0.49355432780847147,-0.004536995515695108,29.4,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_184,H.D. KUMARASWAMY,MANDYA,KARNATAKA,Lok Sabha,147000000.0,44450000.0,102550000.0,30.24,0.47513812154696133,-0.0890680159256801,140,7,133,4.76,0.13812154696132597,-0.9250527969830293,127,117,10,92.1259842519685,7.874015748031496,2.37048687664042,350000.0,3,6956.33,0.9613259668508287,5.395303410789508,82.28,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_185,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,KARNATAKA,Lok Sabha,147000000.0,62346570.0,84653430.0,42.41,0.6869244935543278,0.45563437292634384,148,34,114,18.68,0.3756906077348066,-0.33491829038340654,178,176,2,98.87640449438202,1.1235955056179776,-0.23999063670411983,350261.62921348313,7,4683.98,0.8913443830570903,3.312547499660279,63.82,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_186,G. KUMAR NAIK,RAICHUR,KARNATAKA,Lok Sabha,147000000.0,23521564.0,123478436.0,16.0,0.23204419889502761,-0.7264190444591905,119,9,110,7.03,0.16758747697974216,-0.828816781898177,46,44,2,95.65217391304348,4.3478260869565215,1.0068623188405796,511338.347826087,16,1967.6,0.7034990791896869,0.822809342301943,33.48,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_187,SHRI B Y RAGHAVENDRA,SHIMOGA,KARNATAKA,Lok Sabha,147000000.0,69561261.0,77438739.0,47.32,0.7513812154696132,0.6753951559389518,213,49,164,18.7,0.3775322283609576,-0.3340703959773726,296,295,1,99.66216216216216,0.33783783783783783,-0.5438536036036037,235004.26013513515,11,3061.16,0.7992633517495396,1.8251278910178008,44.83,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_188,V. SOMANNA,TUMKUR,KARNATAKA,Lok Sabha,147000000.0,32293790.0,114706210.0,21.97,0.3388581952117864,-0.45921499668214993,57,4,53,6.56,0.16206261510128914,-0.8487423004399747,26,17,9,65.38461538461539,34.61538461538461,12.711730769230767,1242068.8461538462,7,3742.92,0.8453038674033149,2.450005075417855,52.56,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_189,KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,KARNATAKA,Lok Sabha,147000000.0,39870575.0,107129425.0,27.12,0.42173112338858193,-0.22871234240212326,269,51,218,15.94,0.3241252302025783,-0.4510798240100564,110,98,12,89.0909090909091,10.909090909090908,3.544190909090909,362459.7727272727,70,296.78,0.143646408839779,-0.7086053743715178,9.69,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_190,VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,KARNATAKA,Lok Sabha,147000000.0,33350000.0,113650000.0,22.69,0.34990791896869244,-0.4269893828798937,113,30,83,20.98,0.4143646408839779,-0.2374104336895033,83,79,4,95.18072289156626,4.819277108433735,1.189178714859438,401807.2289156627,2,8859.34,0.9834254143646409,7.139535296915341,93.93,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_191,K. C VENUGOPAL,ALAPPUZHA,KERALA,Lok Sabha,147000000.0,44331588.0,102668412.0,30.16,0.4732965009208103,-0.09264863968148628,52,37,15,41.57,0.7053406998158379,0.6354968573224387,67,67,0,100.0,0.0,-0.6745,661665.4925373135,25,1335.79,0.576427255985267,0.24371456719662982,26.41,2026-08-26T10:44:17.312957+00:00
INTERNAL_MP_192,K RADHAKRISHNAN,ALATHUR,KERALA,Lok Sabha,147000000.0,28066021.0,118933979.0,19.09,0.289134438305709,-0.5881174518911746,171,15,156,8.06,0.1860036832412523,-0.7851502199874288,30,30,0,100.0,0.0,-0.6745,935534.0333333333,25,760.16,0.3812154696132597,-0.28388760021742093,16.17,2026-08-26T10:44:17.312957+00:00
