internal_vendor_id,vendor_name_normalized,total_received_amount,vendor_revenue_percentile,vendor_revenue_robust_zscore,total_transaction_count,average_ticket_size,unique_mps_served,unique_states_served,primary_state,primary_activity,primary_mp_id,primary_mp_name,single_mp_reliance_pct,feature_generated_at
INTERNAL_VND_14089,GRAM PANCHAYAT LANGODRA,249662.0,0.37042498994503287,-0.3036564767353716,1,249662.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_116,RAJESHBHAI NARANBHAI CHUDASAMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14090,ALAUL ISLAM,249653.0,0.37038030120212717,-0.3036747373930621,1,249653.0,1,1,WEST BENGAL,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_514,SMT SATABDI ROY (BANERJEE),100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14091,GRAM PANCHAYAT ISHAPUR,249649.0,0.37033561245922153,-0.3036828532409246,1,249649.0,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_116,RAJESHBHAI NARANBHAI CHUDASAMA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14092,T SHASHI KANTH,249635.0,0.37029092371631583,-0.3037112587084431,2,124817.5,1,1,TELANGANA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_398,KONDA VISHWESHWAR REDDY,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14093,SUSHILA ENTERPRISE,249625.0,0.3702462349734102,-0.30373154832809923,1,249625.0,1,1,WEST BENGAL,Street lights,INTERNAL_MP_528,PRATIMA MONDAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14094,PARAMANANDA DUTTA,249623.0,0.37020154623050455,-0.30373560625203044,1,249623.0,1,1,ASSAM,Construction of community centers and community halls,INTERNAL_MP_035,GAURAV GOGOI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14095,JAI BABA BARFANI TRADER,249621.0,0.37013451311614604,-0.30373966417596165,1,249621.0,1,1,MADHYA PRADESH,Construction of community centers and community halls,INTERNAL_MP_224,SHANKAR LALWANI,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14096,K S ENTERPRISE AND SUPPLIERS,249621.0,0.37013451311614604,-0.30373966417596165,1,249621.0,1,1,WEST BENGAL,Street lights,INTERNAL_MP_528,PRATIMA MONDAL,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14097,NAVA GHANTILA GRAM PANCHAYAT,249617.0,0.3700674800017876,-0.30374778002382413,1,249617.0,1,1,GUJARAT,Providing supply pipelines for drinking water,INTERNAL_MP_127,CHANDUBHAI CHHAGANBHAI SHIHORA,100.0,2026-08-26T10:44:17.312957+00:00
INTERNAL_VND_14098,SOLANKI BHEEM RAO,249614.0,0.3700227912588819,-0.30375386690972095,1,249614.0,1,1,TELANGANA,"Construction of roads, link roads, pathways or any other road with or without drainage system",INTERNAL_MP_396,GODAM NAGESH,100.0,2026-08-26T10:44:17.312957+00:00
